NAME,FIELD_NUMBER,LENGTH,WIDTH,LATITUDE,LONGITUDE,LOCATION,Geometry Point
Belgravia,1,180,120,53.509509302934234,-113.53253785631073,"(53.509509302934234, -113.53253785631073)",POINT (-113.53253785631073 53.509509302934234)
Major General Griesbach,2,180,100,53.60681221316294,-113.49832675747989,"(53.60681221316294, -113.49832675747989)",POINT (-113.49832675747989 53.60681221316294)
Terwillegar Towne,2,300,190,53.44841198570777,-113.57413262770817,"(53.44841198570777, -113.57413262770817)",POINT (-113.57413262770817 53.44841198570777)
St. Elizabeth,1,300,180,53.47046784778174,-113.45197457458262,"(53.47046784778174, -113.45197457458262)",POINT (-113.45197457458262 53.47046784778174)
Killarney,4,295,120,53.591846348186486,-113.48410680479243,"(53.591846348186486, -113.48410680479243)",POINT (-113.48410680479243 53.591846348186486)
St. Augustine,7,180,90,53.47271477106264,-113.50742551677865,"(53.47271477106264, -113.50742551677865)",POINT (-113.50742551677865 53.47271477106264)
St. Cecilia,1,260,140,53.59329626635793,-113.47828272397248,"(53.59329626635793, -113.47828272397248)",POINT (-113.47828272397248 53.59329626635793)
George Luck,5,180,100,53.47383509867865,-113.57606245635893,"(53.47383509867865, -113.57606245635893)",POINT (-113.57606245635893 53.47383509867865)
St. Dominic,8,180,70,53.60806439148083,-113.43190226253093,"(53.60806439148083, -113.43190226253093)",POINT (-113.43190226253093 53.60806439148083)
St. Jerome,3,180,100,53.561537985186696,-113.39171185307363,"(53.561537985186696, -113.39171185307363)",POINT (-113.39171185307363 53.561537985186696)
S Bruce Smith,4,330,210,53.49020901145723,-113.63977438425208,"(53.49020901145723, -113.63977438425208)",POINT (-113.63977438425208 53.49020901145723)
Centennial,1,240,130,53.49492455471854,-113.6237148467229,"(53.49492455471854, -113.6237148467229)",POINT (-113.6237148467229 53.49492455471854)
Oliver,2,180,85,53.5434368832924,-113.52460444341392,"(53.5434368832924, -113.52460444341392)",POINT (-113.52460444341392 53.5434368832924)
McKee,1,180,120,53.48706591809603,-113.50908683693702,"(53.48706591809603, -113.50908683693702)",POINT (-113.50908683693702 53.48706591809603)
Herb Link,4,190,100,53.624416169240476,-113.53283251002966,"(53.624416169240476, -113.53283251002966)",POINT (-113.53283251002966 53.624416169240476)
Stratford,2,230,145,53.52104406753812,-113.58355935782333,"(53.52104406753812, -113.58355935782333)",POINT (-113.58355935782333 53.52104406753812)
Kensington,1,300,165,53.59639265515997,-113.52976848786136,"(53.59639265515997, -113.52976848786136)",POINT (-113.52976848786136 53.59639265515997)
Laurier Heights,2,240,125,53.516056075425965,-113.56671917272504,"(53.516056075425965, -113.56671917272504)",POINT (-113.56671917272504 53.516056075425965)
Kenilworth,2,300,200,53.52306952301938,-113.43614821545063,"(53.52306952301938, -113.43614821545063)",POINT (-113.43614821545063 53.52306952301938)
The Hamptons,6,150,90,53.49025806951805,-113.68468917196135,"(53.49025806951805, -113.68468917196135)",POINT (-113.68468917196135 53.49025806951805)
The Hamptons,3,330,210,53.49254355953185,-113.68855575220427,"(53.49254355953185, -113.68855575220427)",POINT (-113.68855575220427 53.49254355953185)
Summerside W,2,300,210,53.4191676185269,-113.46226257665239,"(53.4191676185269, -113.46226257665239)",POINT (-113.46226257665239 53.4191676185269)
Oleskiw,1,240,150,53.49821787699719,-113.60489297805121,"(53.49821787699719, -113.60489297805121)",POINT (-113.60489297805121 53.49821787699719)
Rio Terrace,4,180,120,53.508625569685975,-113.58711301431303,"(53.508625569685975, -113.58711301431303)",POINT (-113.58711301431303 53.508625569685975)
Tipaskan,3,240,160,53.46238251002813,-113.45675386695603,"(53.46238251002813, -113.45675386695603)",POINT (-113.45675386695603 53.46238251002813)
St. Augustine,6,100,70,53.47400004887979,-113.50560204703336,"(53.47400004887979, -113.50560204703336)",POINT (-113.50560204703336 53.47400004887979)
Hodgson Road,2,300,180,53.45739537237137,-113.55977030791084,"(53.45739537237137, -113.55977030791084)",POINT (-113.55977030791084 53.45739537237137)
Belmont,8,300,180,53.59474644243691,-113.39649445479701,"(53.59474644243691, -113.39649445479701)",POINT (-113.39649445479701 53.59474644243691)
